dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,popData2018
24/5/2020,24,5,2020,17,1,Austria,AT,AUT,8858775,Europe,8858775
23/5/2020,23,5,2020,50,4,Austria,AT,AUT,8858775,Europe,8858775
22/5/2020,22,5,2020,32,2,Austria,AT,AUT,8858775,Europe,8858775
21/5/2020,21,5,2020,51,0,Austria,AT,AUT,8858775,Europe,8858775
20/5/2020,20,5,2020,32,1,Austria,AT,AUT,8858775,Europe,8858775
19/5/2020,19,5,2020,52,3,Austria,AT,AUT,8858775,Europe,8858775
18/5/2020,18,5,2020,27,0,Austria,AT,AUT,8858775,Europe,8858775
17/5/2020,17,5,2020,41,0,Austria,AT,AUT,8858775,Europe,8858775
16/5/2020,16,5,2020,92,1,Austria,AT,AUT,8858775,Europe,8858775
15/5/2020,15,5,2020,51,2,Austria,AT,AUT,8858775,Europe,8858775
14/5/2020,14,5,2020,61,2,Austria,AT,AUT,8858775,Europe,8858775
13/5/2020,13,5,2020,36,1,Austria,AT,AUT,8858775,Europe,8858775
12/5/2020,12,5,2020,79,3,Austria,AT,AUT,8858775,Europe,8858775
11/5/2020,11,5,2020,11,2,Austria,AT,AUT,8858775,Europe,8858775
10/5/2020,10,5,2020,38,3,Austria,AT,AUT,8858775,Europe,8858775
9/5/2020,9,5,2020,59,1,Austria,AT,AUT,8858775,Europe,8858775
8/5/2020,8,5,2020,22,5,Austria,AT,AUT,8858775,Europe,8858775
7/5/2020,7,5,2020,68,1,Austria,AT,AUT,8858775,Europe,8858775
6/5/2020,6,5,2020,34,2,Austria,AT,AUT,8858775,Europe,8858775
5/5/2020,5,5,2020,29,6,Austria,AT,AUT,8858775,Europe,8858775
4/5/2020,4,5,2020,24,2,Austria,AT,AUT,8858775,Europe,8858775
3/5/2020,3,5,2020,39,2,Austria,AT,AUT,8858775,Europe,8858775
2/5/2020,2,5,2020,27,7,Austria,AT,AUT,8858775,Europe,8858775
1/5/2020,1,5,2020,79,5,Austria,AT,AUT,8858775,Europe,8858775
30/4/2020,30,4,2020,50,4,Austria,AT,AUT,8858775,Europe,8858775
29/4/2020,29,4,2020,45,11,Austria,AT,AUT,8858775,Europe,8858775
28/4/2020,28,4,2020,83,20,Austria,AT,AUT,8858775,Europe,8858775
27/4/2020,27,4,2020,49,7,Austria,AT,AUT,8858775,Europe,8858775
26/4/2020,26,4,2020,77,6,Austria,AT,AUT,8858775,Europe,8858775
25/4/2020,25,4,2020,77,6,Austria,AT,AUT,8858775,Europe,8858775
24/4/2020,24,4,2020,69,8,Austria,AT,AUT,8858775,Europe,8858775
23/4/2020,23,4,2020,77,12,Austria,AT,AUT,8858775,Europe,8858775
22/4/2020,22,4,2020,52,19,Austria,AT,AUT,8858775,Europe,8858775
21/4/2020,21,4,2020,78,21,Austria,AT,AUT,8858775,Europe,8858775
20/4/2020,20,4,2020,46,18,Austria,AT,AUT,8858775,Europe,8858775
19/4/2020,19,4,2020,78,9,Austria,AT,AUT,8858775,Europe,8858775
18/4/2020,18,4,2020,76,12,Austria,AT,AUT,8858775,Europe,8858775
17/4/2020,17,4,2020,119,21,Austria,AT,AUT,8858775,Europe,8858775
16/4/2020,16,4,2020,126,17,Austria,AT,AUT,8858775,Europe,8858775
15/4/2020,15,4,2020,124,9,Austria,AT,AUT,8858775,Europe,8858775
14/4/2020,14,4,2020,185,16,Austria,AT,AUT,8858775,Europe,8858775
13/4/2020,13,4,2020,96,18,Austria,AT,AUT,8858775,Europe,8858775
12/4/2020,12,4,2020,139,13,Austria,AT,AUT,8858775,Europe,8858775
11/4/2020,11,4,2020,246,18,Austria,AT,AUT,8858775,Europe,8858775
10/4/2020,10,4,2020,316,24,Austria,AT,AUT,8858775,Europe,8858775
9/4/2020,9,4,2020,302,22,Austria,AT,AUT,8858775,Europe,8858775
8/4/2020,8,4,2020,303,30,Austria,AT,AUT,8858775,Europe,8858775
7/4/2020,7,4,2020,342,23,Austria,AT,AUT,8858775,Europe,8858775
6/4/2020,6,4,2020,246,16,Austria,AT,AUT,8858775,Europe,8858775
5/4/2020,5,4,2020,270,18,Austria,AT,AUT,8858775,Europe,8858775
4/4/2020,4,4,2020,257,18,Austria,AT,AUT,8858775,Europe,8858775
3/4/2020,3,4,2020,395,10,Austria,AT,AUT,8858775,Europe,8858775
2/4/2020,2,4,2020,418,12,Austria,AT,AUT,8858775,Europe,8858775
1/4/2020,1,4,2020,531,18,Austria,AT,AUT,8858775,Europe,8858775
31/3/2020,31,3,2020,562,20,Austria,AT,AUT,8858775,Europe,8858775
30/3/2020,30,3,2020,830,22,Austria,AT,AUT,8858775,Europe,8858775
29/3/2020,29,3,2020,517,18,Austria,AT,AUT,8858775,Europe,8858775
28/3/2020,28,3,2020,574,10,Austria,AT,AUT,8858775,Europe,8858775
27/3/2020,27,3,2020,788,9,Austria,AT,AUT,8858775,Europe,8858775
26/3/2020,26,3,2020,1321,18,Austria,AT,AUT,8858775,Europe,8858775
25/3/2020,25,3,2020,305,3,Austria,AT,AUT,8858775,Europe,8858775
24/3/2020,24,3,2020,809,7,Austria,AT,AUT,8858775,Europe,8858775
23/3/2020,23,3,2020,892,5,Austria,AT,AUT,8858775,Europe,8858775
22/3/2020,22,3,2020,590,8,Austria,AT,AUT,8858775,Europe,8858775
21/3/2020,21,3,2020,343,2,Austria,AT,AUT,8858775,Europe,8858775
20/3/2020,20,3,2020,470,0,Austria,AT,AUT,8858775,Europe,8858775
19/3/2020,19,3,2020,533,2,Austria,AT,AUT,8858775,Europe,8858775
18/3/2020,18,3,2020,314,0,Austria,AT,AUT,8858775,Europe,8858775
17/3/2020,17,3,2020,314,1,Austria,AT,AUT,8858775,Europe,8858775
16/3/2020,16,3,2020,158,2,Austria,AT,AUT,8858775,Europe,8858775
15/3/2020,15,3,2020,205,0,Austria,AT,AUT,8858775,Europe,8858775
14/3/2020,14,3,2020,151,0,Austria,AT,AUT,8858775,Europe,8858775
13/3/2020,13,3,2020,143,0,Austria,AT,AUT,8858775,Europe,8858775
12/3/2020,12,3,2020,115,1,Austria,AT,AUT,8858775,Europe,8858775
11/3/2020,11,3,2020,64,0,Austria,AT,AUT,8858775,Europe,8858775
10/3/2020,10,3,2020,51,0,Austria,AT,AUT,8858775,Europe,8858775
9/3/2020,9,3,2020,27,0,Austria,AT,AUT,8858775,Europe,8858775
8/3/2020,8,3,2020,23,0,Austria,AT,AUT,8858775,Europe,8858775
7/3/2020,7,3,2020,15,0,Austria,AT,AUT,8858775,Europe,8858775
6/3/2020,6,3,2020,23,0,Austria,AT,AUT,8858775,Europe,8858775
5/3/2020,5,3,2020,14,0,Austria,AT,AUT,8858775,Europe,8858775
4/3/2020,4,3,2020,5,0,Austria,AT,AUT,8858775,Europe,8858775
3/3/2020,3,3,2020,6,0,Austria,AT,AUT,8858775,Europe,8858775
2/3/2020,2,3,2020,4,0,Austria,AT,AUT,8858775,Europe,8858775
1/3/2020,1,3,2020,4,0,Austria,AT,AUT,8858775,Europe,8858775
29/2/2020,29,2,2020,3,0,Austria,AT,AUT,8858775,Europe,8858775
28/2/2020,28,2,2020,2,0,Austria,AT,AUT,8858775,Europe,8858775
27/2/2020,27,2,2020,3,0,Austria,AT,AUT,8858775,Europe,8858775
26/2/2020,26,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
25/2/2020,25,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
24/2/2020,24,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
23/2/2020,23,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
22/2/2020,22,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
21/2/2020,21,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
20/2/2020,20,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
19/2/2020,19,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
18/2/2020,18,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
17/2/2020,17,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
16/2/2020,16,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
15/2/2020,15,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
14/2/2020,14,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
13/2/2020,13,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
12/2/2020,12,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
11/2/2020,11,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
10/2/2020,10,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
9/2/2020,9,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
8/2/2020,8,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
7/2/2020,7,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
6/2/2020,6,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
5/2/2020,5,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
4/2/2020,4,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
3/2/2020,3,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
2/2/2020,2,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
1/2/2020,1,2,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
31/1/2020,31,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
30/1/2020,30,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
29/1/2020,29,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
28/1/2020,28,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
27/1/2020,27,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
26/1/2020,26,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
25/1/2020,25,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
24/1/2020,24,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
23/1/2020,23,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
22/1/2020,22,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
21/1/2020,21,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
20/1/2020,20,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
19/1/2020,19,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
18/1/2020,18,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
17/1/2020,17,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
16/1/2020,16,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
15/1/2020,15,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
14/1/2020,14,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
13/1/2020,13,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
12/1/2020,12,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
11/1/2020,11,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
10/1/2020,10,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
9/1/2020,9,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
8/1/2020,8,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
7/1/2020,7,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
6/1/2020,6,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
5/1/2020,5,1,2020,0,0,Austria,AT,AUT,8858775,Europe,8858775
